"sales_month","total_orders","total_items_sold","product_revenue","total_freight","gross_revenue","average_order_value","prior_month_revenue","mom_growth_pct","running_total_revenue"
"2016-09",2,5,207.86,71.83,279.69,139.85,0.0,0.0,279.69
"2016-10",290,342,44507.3,6847.22,51354.52,177.08,279.69,18261.23,51634.21
"2016-12",1,1,10.9,8.72,19.62,19.62,51354.52,-99.96,51653.83
"2017-01",787,953,120098.27,16845.19,136943.46,174.01,19.62,697878.9,188597.29
"2017-02",1718,1936,244959.35,38602.34,283561.69,165.05,136943.46,107.06,472158.98
"2017-03",2617,2975,368341.32,57276.64,425617.96,162.64,283561.69,50.1,897776.94
"2017-04",2377,2660,353842.98,52005.63,405848.61,170.74,425617.96,-4.64,1303625.55
"2017-05",3640,4106,503159.19,79551.64,582710.83,160.09,405848.61,43.58,1886336.38
"2017-06",3205,3571,429916.61,69735.63,499652.24,155.9,582710.83,-14.25,2385988.62
"2017-07",3946,4493,492287.3,86466.43,578753.73,146.67,499652.24,15.83,2964742.35
"2017-08",4272,4882,568245.79,93657.73,661903.52,154.94,578753.73,14.37,3626645.87
"2017-09",4227,4815,621415.91,95686.81,717102.72,169.65,661903.52,8.34,4343748.59
"2017-10",4547,5300,660179.62,104576.41,764756.03,168.19,717102.72,6.65,5108504.62
"2017-11",7421,8626,1003862.14,168329.54,1172191.68,157.96,764756.03,53.28,6280696.3
"2017-12",5618,6300,742183.79,119342.98,861526.77,153.35,1172191.68,-26.5,7142223.07
"2018-01",7187,8173,945456.29,156463.72,1101920.01,153.32,861526.77,27.9,8244143.08
"2018-02",6624,7597,837895.43,141590.73,979486.16,147.87,1101920.01,-11.11,9223629.24
"2018-03",7168,8195,981051.06,171605.93,1152656.99,160.81,979486.16,17.68,10376286.23
"2018-04",6919,7957,993592.98,162655.91,1156248.89,167.11,1152656.99,0.31,11532535.12
"2018-05",6833,7898,992871.75,152814.71,1145686.46,167.67,1156248.89,-0.91,12678221.58
"2018-06",6145,7060,863265.53,157116.37,1020381.9,166.05,1145686.46,-10.94,13698603.48
"2018-07",6233,7039,878044.27,161739.31,1039783.58,166.82,1020381.9,1.9,14738387.06
"2018-08",6421,7216,848860.1,148113.41,996973.51,155.27,1039783.58,-4.12,15735360.57
"2018-09",1,1,145.0,21.46,166.46,166.46,996973.51,-99.98,15735527.03
